Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2025-02-21,179.4533233642578,185.12678179449694,178.87398876546825,184.93699793129608,35199200
2025-02-24,179.04379272460938,182.90933584096624,178.68420625509464,181.78064614487357,29854200
2025-02-25,175.21820068359375,178.53438877889693,174.48904471950055,177.8351818432405,41913400
2025-02-26,172.5312957763672,175.87744820035027,171.38262477536554,174.8686155406987,35431300
2025-02-27,168.30616760253906,174.3591940996765,167.746814231894,173.78985771928288,39991000
2025-02-28,170.0841064453125,170.41372863795183,166.5781498819881,168.48594100971005,48130600
2025-03-03,166.81787109375,173.17055534541237,165.73911166521458,171.7322094406985,40770500
2025-03-04,170.72337341308594,173.09064211021553,165.60926829005186,166.04876455679425,45388000
2025-03-05,172.8209686279297,173.58008886593674,168.86551735545183,170.32384453302183,30954900
2025-03-06,172.1517333984375,174.60889486138916,170.30385555544734,170.33381982392953,28302000
2025-03-07,173.66000366210938,174.76872740179581,170.07413701655315,171.06298843219486,27385800
2025-03-10,165.8699951171875,168.4600067138672,163.69000244140625,168.25999450683594,43604000
2025-03-11,164.0399932861328,166.75,161.3699951171875,164.91000366210938,39587400
2025-03-12,167.11000061035156,167.63999938964844,163.52999877929688,166.5800018310547,28372400
2025-03-13,162.75999450683594,166.1300048828125,162.11000061035156,166.0399932861328,31756200
2025-03-14,165.49000549316406,166.49000549316406,162.4499969482422,163.27000427246094,31995900
2025-03-17,164.2899932861328,166.3000030517578,163.6699981689453,165.02999877929688,31184300
2025-03-18,160.6699981689453,164.25,156.72000122070312,163.67999267578125,42074800
2025-03-19,163.88999938964844,165.8699951171875,161.0,161.75999450683594,34275600
2025-03-20,162.8000030517578,164.88999938964844,160.9600067138672,161.57000732421875,28138500
2025-03-21,163.99000549316406,164.24000549316406,160.88999938964844,161.2100067138672,36625800
2025-03-24,167.67999267578125,168.32000732421875,165.13999938964844,167.07000732421875,30879100
2025-03-25,170.55999755859375,170.6300048828125,168.32000732421875,168.97999572753906,24174400
2025-03-26,165.05999755859375,169.61000061035156,164.83999633789062,169.0,28901600
2025-03-27,162.24000549316406,165.4199981689453,162.0,164.6300048828125,24508300
2025-03-28,154.3300018310547,161.82000732421875,153.6300048828125,160.49000549316406,48669300
2025-03-31,154.63999938964844,155.5399932861328,150.66000366210938,153.11000061035156,54603500
2025-04-01,157.07000732421875,158.10000610351562,153.6199951171875,153.6199951171875,30672900
2025-04-02,157.0399932861328,158.41000366210938,154.6999969482422,155.14999389648438,25041700
2025-04-03,150.72000122070312,152.77999877929688,150.38999938964844,151.11000061035156,46883400
2025-04-04,145.60000610351562,151.07000732421875,145.3800048828125,148.00999450683594,62259500
2025-04-07,146.75,152.85000610351562,140.52999877929688,141.5500030517578,76794100
2025-04-08,144.6999969482422,152.24000549316406,143.02999877929688,151.22000122070312,52200200
2025-04-09,158.7100067138672,159.5500030517578,143.91000366210938,144.4199981689453,70406200
2025-04-10,152.82000732421875,157.72000122070312,149.92999267578125,156.5399932861328,48022000
2025-04-11,157.13999938964844,157.6699981689453,152.82000732421875,152.89999389648438,33636200
2025-04-14,159.07000732421875,161.72000122070312,157.55999755859375,160.0,30333000
2025-04-15,156.30999755859375,159.64999389648438,155.2100067138672,159.1300048828125,27551500
2025-04-16,153.3300018310547,155.88999938964844,151.50999450683594,153.10000610351562,28187400
2025-04-17,151.16000366210938,154.67999267578125,148.5,154.2899932861328,32938500
2025-04-21,147.6699981689453,148.9499969482422,146.10000610351562,148.8800048828125,26049100
2025-04-22,151.47000122070312,152.19000244140625,148.5399932861328,148.88999938964844,26971800
2025-04-23,155.35000610351562,157.52999877929688,153.80999755859375,155.61000061035156,31128800
2025-04-24,159.27999877929688,159.58999633789062,155.7899932861328,156.14999389648438,45894000
2025-04-25,161.9600067138672,166.10000610351562,161.0399932861328,165.07000732421875,56034000
2025-04-28,160.61000061035156,163.14999389648438,158.60000610351562,162.42999267578125,29745800
2025-04-29,160.16000366210938,160.74000549316406,157.52000427246094,160.32000732421875,26809000
2025-04-30,158.8000030517578,159.27000427246094,155.39999389648438,157.97999572753906,34981100
2025-05-01,161.3000030517578,161.9499969482422,158.91000366210938,160.4499969482422,30203200
2025-05-02,164.02999877929688,164.97000122070312,161.8699951171875,163.41000366210938,25715000
2025-05-05,164.2100067138672,165.38999938964844,162.72000122070312,163.0,21341800
2025-05-06,163.22999572753906,164.8000030517578,161.19000244140625,162.1699981689453,21277200
2025-05-07,151.3800048828125,165.0,147.83999633789062,164.0800018310547,127490100
2025-05-08,154.27999877929688,155.92999267578125,152.89999389648438,155.0,57498700
2025-05-09,152.75,155.0500030517578,152.1999969482422,154.1699981689453,32435300
2025-05-12,158.4600067138672,159.10000610351562,156.25,157.49000549316406,44138800
2025-05-13,159.52999877929688,160.57000732421875,156.16000366210938,158.7899932861328,42382100
2025-05-14,165.3699951171875,167.0,159.61000061035156,159.9600067138672,48755900
2025-05-15,163.9600067138672,166.2100067138672,162.3699951171875,165.83999633789062,33146700
2025-05-16,166.19000244140625,169.35000610351562,165.6199951171875,167.72999572753906,42650100
